Place,Date,Designation,Review
"Jundiaí, SP",2015-07-08,Tecnico de Processo Jr.,"Meu trabalho se baseava no suporte técnico ao processo de  produção de Iphone. Controle e direcionamento do processo.Elaboração de planilhas e reuniões diárias para Feed Back dos resultados diários. tinha bom relacionamento com o time de supervisão e gerência.As partes menos favoráveis em minhas atividades era lidar com o desafio diário operacional,e a parte mais agradável era a compensação de no final do dia poder ver o resultado satisfatório representado em números e gráficos e encerrar meu expediente com a certeza do dever cumprido."
"Jundiaí, SP",2015-07-07,Operadora de Máquina,"É uma fábrica boa de trabalhar e tem ótimos profissionais.O tempo de trabalho foi de grande significativa, conhecer pessoas e aprender novas funções foi muito satisfatório."
"Jundiaí, SP",2015-07-04,op de produção,"Horario incopativél em alguns casos falta de oportunidade de plano de carreira ,alguns privilegios para os mais chegados, com mais chansse de crescer outros eram deixados nno posto de trabalho sem menor chanse de desenvolver e mostrar seus conhecimentos. (pelo líder de produção)"
jundiai sp,2015-07-02,AUX.CONTROLE MATERIAIS,"Trabalhar na foxconn,foi muito bom,aprendi muito com a liderança,gerência.amo trabalhar a noite.meus colegas de trabalho era tudo de bom.a parte dificil era conseguir subir de cargo.a parte agradável era estar ali por que gostava muito do trabalho."
Administrativo,2015-07-02,Supervisor,"Trabajo bajo Presion, con Poco Margen de Error.Cumplimiento de Metas Obligatorio.Trabajo Fuera del Horario de Trabajo y en Dias Festivos Sin Goce de Sueldos.Poco tiempo libre y Presion por logro de objetivos."
"Jundiaí, SP",2015-07-01,Operador de Produção,quando eu entrei nessa empresa havia poucos meses de funcionamento no inicio era uma empresa desorganizada tiando essa parte foi bom tive otimos relacionamentos e trabalhava na parte de montagem
"Jundiaí, SP",2015-07-01,Operadora de Maquina SMT,"Empresa que me ensino o que era um rotina produtiva, com equipes boas de se trabalhar."
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
Juarez Chihuahua.,2015-06-29,Técnico de Soporte,"Es una empresa en el que los diferentes departamentos estan integrados para llevar cavo objetivos especificos, las tareas estan al dia, la experiencia me la llevo con migo aprendiendo dia a dia implementando y desarrollando aplicaciones para la realizacion del trabajo, la cordinacion y la comunicacion con la gerencia exelente al igual que con todo el equipo de trabajo."
"Indaiatuba, SP",2015-06-29,Tecnico de teste Jr.,"manutenção e calibragem de equipamentos de teste de produção.Aprendi várias formas de descobertas de falhas nos equipamentos,e soluções rápidas para o desenvolvimento da produção.A direção e gerência,sempre no suporte quando necessário.A equipe sempre unida ,um pelo outro.A montagem da linha de produção,pois o prazo sempre curto.Dar treinamento aos auxiliares de produção."
"Jundiaí, SP",2015-06-25,Enfermeira do Trabalho,"Fiquei satisfeita com meu crescimento, amadurecimento e resultados atingidos na empresa.Excelente relacionamento com a equipe de trabalho.Os gestores deixaram a desejar em alguns pontos."
"jerónimo, chihuahua",2015-06-25,Entrenador,Llego a la linea de trabajo checo que todas las personas estén haciendo correctamente su operación si es necesario me meto a  enseñarles puntos críticos. En cada trabajo es diferente siempre se aprenden cosas nuevas en esta planta aprendí a ensamblar computadoras.Que toda persona de nuevo ingreso por lo menos lleve la certificación básica.Tengo muy buenos amigos y  compañeros de trabajo como siempre lo mejor es trabajar en equipo.Viajar todos los días.Que es un trabajo de tecnología.
"Chennai, TN",2015-06-24,Assistant in Finance,"Day time work.It was far from my residence.Preparing purchase order,Helping in preparing budget,Co-workers supported me well."
"Houston, TX",2015-06-22,Manufacturing Planner,"Fun work place and everyone is cool to work with, but the salaries are way below average comparing to the industry. Turnover ratio is always high"
"Campinas, SP",2015-06-17,Operadora de Produção,era uma empresa boa aonde trabalhava e aprendia com meus colegas e supervisores.
"Houston, TX",2015-06-17,lineleader,Typical day at foxconn is you'll never know if you'll be able to complete your orders because you don't have material. I learned how other lines work in the factory. My co-workers are good people trying to make a living. The hardest part at foxconn  is communicating with management. Management should be more involved with the employees.
"Austin, TX",2015-06-15,Vice President of Sales and Marketing,"Executive Management is very conservative in a very aggressive industry. Unwilling to make acquisitions where competitors have done multiples each year to increase product breadth, sales revenue  and customer base."
"Jundiaí, SP",2015-06-15,Operador de Produção 1,"Processo fácil de se aprender, colegas de trabalho  atencioso em ajudar e ensinar."
"Jundiaí, SP",2015-06-10,operador de producao,o tempo que estive na empresa fiz muitas amizades o ambiente com eles erra bom
Cd Juarez,2015-06-10,Business Program Management,"Very good work environment, support for scholarships to employees, open doors management, continuous improvement programs."
"Manaus, AM",2015-06-10,Operador de máquina smt,"Local onde aprendi muito obtive novos conhecimentos e conceitos de trabalho em equipe ,liderança sempre disposta a ajudar seus liderados, setor administrativo não tenho do que reclamar sempre me atenderam e resolveram todas minhas questões. a parte mais difícil não encontrei porque acredito que se torna difícil quando nós mesmo enxergamos as dificuldade e não as oportunidades que podemos encontrar.Do que mais me agradou foi o ambiente de trabalho em equipe."
"Ciudad Juárez, CHH",2015-06-09,Jefe de Grupo Almacen,"Muy buena empresa para laborar, es muy estable con sueldo muy bueno y las prestaciones excelentes...claro que volvería a trabajar ahí !"
"Jundiaí, SP",2015-06-02,Operador de Produção,"Era bem tranquilo o trabalho nao era dificil ,fiz grandes amizades"
"Tijuana, BCN",2015-05-29,INGENIERO ASOCIADO,"Un día de trabajo en Foxconn es muy dinámico ya que siempre aprendes algo nuevo de todas las áreas, ya que si se realiza algún cambio en una parte tienes que informar a la planta y eso relaciona a muchas personas ya que debes informarles vía electrónica además de bajar a piso de producción y mostrar el cambio a todos los relacionados desde producción, materiales y compras.Lo que me gusta de este tipo de días es que soy muy ágil para bajar subir y transmitir la información de los cambios a todas las áreas involucradas ya que todos tienes diferentes dudas y razonan de diferente manera, así que aprendes a comunicarte con los diferentes tipo de de personalidades que hay, lo complicado seria que no es la única actividad que debe sacar durante el día así que lo importante es controlar el estrés sacar prioridades."
"Jundiaí, SP",2015-05-28,Operadora de Produção/auxiliar de inspeção,"Quem faz a empresa agradável é o funcionário eu adorava fazer o meu serviço,aprendi muito e ensinei bem o que aprendi de melhor, tenho facilidade de relacionamento interpessoal, o mais difícil é você se dedicar e não tem como crescer na empresa, o melhor de tudo faça o melhor que você pode"
"Jundiaí, SP",2015-05-27,aperador de mano fatura,boa para trabalho aprendi varias atividade...bons compaheros de trabalho bons gerentes a parte mais dificil ea estabilidade.
"Jundiaí, SP",2015-05-25,Operador de Qualidade (CDIT/OBA),Qualidade CDIT/OBA com pouco funcionário.Empresa com Estabilidade baixa.
"Indaiatuba, SP",2015-05-22,operador de maquinas,Uma empresa boa...Para trabalhar.......Aprendi tambem nesse serviço....
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Houston, TX",2015-05-20,Warehouse Supervisor,I worked here for six years as a warehouse employee. At first it was a normal warehouse job but every year the format would change and from there on we never knew what was next. So many people work here that the bosses wouldn't really know who you were unless you were assigned a company email account.
"Johor Bahru, M01",2015-05-16,LINE LEADER,"Big responsible , everyday learn something different , high risk job not do mistake , very hard job but try improve , like family at the line and I always care my line to get more output everyday"
"Ciudad Juárez, CHH",2015-05-08,tec insercion automatica,muy buen trabajo pero ay que buscar nuevas oportunidades es muy agradable el clima laboral
"Jundiaí, SP",2015-05-05,operador produçao 1,"Empresa muito boas para se trabalhar, tem otimos beneficios"
"Jundiaí, SP",2015-05-04,Op. de Produção / Reparo ( Celulares),"Salario bom mas só isso agrada. Não temos chances de crescimento dentro da empresa, horário ruim de trabalho, liderança despreparada."
"Indaiatuba, SP",2015-05-04,OPERADORA DE PRODUÇÃO,"Rotinas administrativas, fazendo planilhas, controle de estoque. Gerência muito competente, colegas de trabalho sempre disposto a ajudar. Difícil era o horário e distância. O bom era o reconhecimento que tinha dentro da empresa."
"Houston, TX",2015-05-01,Order Fulfillment Rep,"For my position (Order Fulfillment Rep), you're basically customer service for the factory in your city. You communicate with Foxconn's customers globally using a website called Salesforce.Within Salesforce, customers create cases where they request various needs like:- Expediting orders- Providing the status of orders- Informing managers in releasing ""holds"" on products (holds prevent the order from being built by your production team)- Scheduling orders- Making sure the orders go through the system. If not, you need to talk to your IT team to fix the ""signal"" issue so that the order can appear in both ends (customer and you).Overtime, you get to learn which customer belongs to which company, the products they use, and also learning the process of the overall workflow of the factory.When I started my job with Foxconn last June in the year of 2014, my team was composed of 4 people. Now, that has shrunk down to 1 (which is me). People leave because the job can be stressful, but it is rewarding in the end.Apart from networking with your co-workers in the office, you also get to network with your customers. Who knows, you get to work for them ~"
